date,channel,campaign_type,campaign_name,spend,clicks,impressions,conversions,revenue,roas
2026-01-01,Google Ads,Shopping,Generic Search,564.66,1375,42710,72,2371.57,4.2
2026-01-01,Google Ads,Performance Max,Shopping Best Sellers,510.64,590,31462,24,2022.13,3.96
2026-01-01,Meta Ads,Prospecting,Lookalike Prospecting,362.35,540,17910,17,1058.06,2.92
2026-01-01,Meta Ads,Retargeting,Cart Retargeting,412.77,806,24655,21,1073.2,2.6
2026-01-01,Meta Ads,Advantage+,Advantage Shopping,472.39,573,29655,24,1270.73,2.69
2026-01-01,Microsoft Ads,Search,Bing Brand,139.45,296,10634,17,812.99,5.83
2026-01-01,Microsoft Ads,Shopping,Bing Generic,196.98,167,8999,8,898.23,4.56
2026-01-02,Google Ads,Search,Brand Search,495.82,1354,35330,74,2553.47,5.15
2026-01-02,Google Ads,Shopping,Generic Search,535.75,506,27308,16,2593.03,4.84
2026-01-02,Google Ads,Performance Max,Shopping Best Sellers,496.05,791,33423,45,2232.22,4.5
2026-01-02,Meta Ads,Prospecting,Lookalike Prospecting,373.74,970,25910,29,1016.57,2.72
2026-01-02,Meta Ads,Retargeting,Cart Retargeting,439.89,385,20615,15,1491.23,3.39
2026-01-02,Meta Ads,Advantage+,Advantage Shopping,479.64,1050,28706,30,1621.18,3.38
2026-01-02,Microsoft Ads,Search,Bing Brand,163.77,291,7629,18,1038.3,6.34
2026-01-02,Microsoft Ads,Shopping,Bing Generic,184.66,611,15931,25,808.81,4.38
2026-01-03,Google Ads,Search,Brand Search,351.68,612,22778,39,1821.7,5.18
2026-01-03,Google Ads,Shopping,Generic Search,460.22,1354,39227,84,1762.64,3.83
2026-01-03,Google Ads,Performance Max,Shopping Best Sellers,505.92,1636,37955,61,2134.98,4.22
2026-01-03,Meta Ads,Prospecting,Lookalike Prospecting,318.53,596,20309,35,965.15,3.03
2026-01-03,Meta Ads,Retargeting,Cart Retargeting,311.16,500,24701,32,1026.83,3.3
2026-01-03,Meta Ads,Advantage+,Advantage Shopping,350.87,679,24373,18,1042.08,2.97
2026-01-03,Microsoft Ads,Search,Bing Brand,144.57,289,7452,12,806.7,5.58
2026-01-03,Microsoft Ads,Shopping,Bing Generic,168.98,168,9198,11,875.32,5.18
2026-01-04,Google Ads,Search,Brand Search,313.66,757,20070,42,1791.0,5.71
2026-01-04,Google Ads,Shopping,Generic Search,438.71,696,34080,24,1882.07,4.29
2026-01-04,Google Ads,Performance Max,Shopping Best Sellers,505.93,1045,34489,51,2059.14,4.07
2026-01-04,Meta Ads,Prospecting,Lookalike Prospecting,284.36,587,16176,22,912.8,3.21
2026-01-04,Meta Ads,Retargeting,Cart Retargeting,310.78,332,15746,16,832.89,2.68
2026-01-04,Meta Ads,Advantage+,Advantage Shopping,416.21,659,21534,38,1140.42,2.74
2026-01-04,Microsoft Ads,Search,Bing Brand,150.5,170,8238,6,928.59,6.17
2026-01-04,Microsoft Ads,Shopping,Bing Generic,138.16,188,5891,7,616.19,4.46
2026-01-05,Google Ads,Search,Brand Search,499.29,780,36640,50,2726.12,5.46
2026-01-05,Google Ads,Shopping,Generic Search,500.99,1026,33984,46,2379.7,4.75
2026-01-05,Google Ads,Performance Max,Shopping Best Sellers,513.71,1318,43330,82,1931.55,3.76
2026-01-05,Meta Ads,Prospecting,Lookalike Prospecting,338.11,461,23778,15,892.61,2.64
2026-01-05,Meta Ads,Retargeting,Cart Retargeting,412.9,755,35809,45,1172.64,2.84
2026-01-05,Meta Ads,Advantage+,Advantage Shopping,475.97,784,24825,35,1542.14,3.24
2026-01-05,Microsoft Ads,Search,Bing Brand,153.67,345,13300,18,1035.74,6.74
2026-01-05,Microsoft Ads,Shopping,Bing Generic,187.81,372,15897,13,982.25,5.23
2026-01-06,Google Ads,Search,Brand Search,457.87,455,22812,11,2225.25,4.86
2026-01-06,Google Ads,Shopping,Generic Search,496.81,658,27378,37,2190.93,4.41
2026-01-06,Google Ads,Performance Max,Shopping Best Sellers,611.38,1874,44589,113,2592.25,4.24
2026-01-06,Meta Ads,Prospecting,Lookalike Prospecting,364.87,891,30655,44,1145.69,3.14
2026-01-06,Meta Ads,Retargeting,Cart Retargeting,425.86,670,33727,22,1422.37,3.34
2026-01-06,Meta Ads,Advantage+,Advantage Shopping,433.99,748,29344,23,1393.11,3.21
2026-01-06,Microsoft Ads,Search,Bing Brand,166.77,437,14079,21,1079.0,6.47
2026-01-06,Microsoft Ads,Shopping,Bing Generic,157.82,256,9697,9,673.89,4.27
2026-01-07,Google Ads,Search,Brand Search,380.32,998,30280,68,2308.54,6.07
2026-01-07,Google Ads,Shopping,Generic Search,588.22,606,31839,36,2652.87,4.51
2026-01-07,Google Ads,Performance Max,Shopping Best Sellers,571.31,1080,47546,55,2559.47,4.48
2026-01-07,Meta Ads,Prospecting,Lookalike Prospecting,367.67,459,16952,18,1099.33,2.99
2026-01-07,Meta Ads,Retargeting,Cart Retargeting,430.78,882,24486,33,1421.57,3.3
2026-01-07,Meta Ads,Advantage+,Advantage Shopping,530.8,1057,35433,41,1730.41,3.26
2026-01-07,Microsoft Ads,Search,Bing Brand,149.07,282,8972,20,1033.06,6.93
2026-01-07,Microsoft Ads,Shopping,Bing Generic,192.38,267,11657,11,954.2,4.96
2026-01-08,Google Ads,Search,Brand Search,475.64,844,36244,42,2644.56,5.56
2026-01-08,Google Ads,Shopping,Generic Search,579.23,900,42528,62,2450.14,4.23
2026-01-08,Google Ads,Performance Max,Shopping Best Sellers,599.62,952,29458,47,2392.48,3.99
2026-01-08,Meta Ads,Prospecting,Lookalike Prospecting,308.0,768,25589,23,1050.28,3.41
2026-01-08,Meta Ads,Retargeting,Cart Retargeting,454.05,1053,33712,39,1362.15,3.0
2026-01-08,Meta Ads,Advantage+,Advantage Shopping,516.76,885,27372,37,1756.98,3.4
2026-01-08,Microsoft Ads,Search,Bing Brand,180.16,595,14696,22,1106.18,6.14
2026-01-08,Microsoft Ads,Shopping,Bing Generic,201.06,527,16897,33,961.07,4.78
2026-01-09,Google Ads,Search,Brand Search,410.91,1236,28111,58,2083.31,5.07
2026-01-09,Google Ads,Shopping,Generic Search,454.29,845,26136,42,1976.16,4.35
2026-01-09,Google Ads,Performance Max,Shopping Best Sellers,573.78,1047,28970,53,2346.76,4.09
2026-01-09,Meta Ads,Prospecting,Lookalike Prospecting,325.4,535,14306,30,1051.04,3.23
2026-01-09,Meta Ads,Retargeting,Cart Retargeting,453.41,1282,32585,89,1314.89,2.9
2026-01-09,Meta Ads,Advantage+,Advantage Shopping,468.21,1009,30248,65,1222.03,2.61
2026-01-09,Microsoft Ads,Search,Bing Brand,178.56,350,11726,20,1074.93,6.02
2026-01-09,Microsoft Ads,Shopping,Bing Generic,179.51,265,8786,18,917.3,5.11
2026-01-10,Google Ads,Search,Brand Search,352.59,1008,25119,64,1999.19,5.67
2026-01-10,Google Ads,Shopping,Generic Search,480.5,992,27028,59,1998.88,4.16
2026-01-10,Google Ads,Performance Max,Shopping Best Sellers,548.5,851,24726,57,2051.39,3.74
2026-01-10,Meta Ads,Prospecting,Lookalike Prospecting,347.18,439,21362,23,1114.45,3.21
2026-01-10,Meta Ads,Retargeting,Cart Retargeting,388.54,1180,28453,32,1146.19,2.95
2026-01-10,Meta Ads,Advantage+,Advantage Shopping,432.21,554,25443,27,1223.15,2.83
2026-01-10,Microsoft Ads,Search,Bing Brand,137.09,136,6806,9,908.91,6.63
2026-01-10,Microsoft Ads,Shopping,Bing Generic,161.58,292,13424,13,733.57,4.54
2026-01-11,Google Ads,Search,Brand Search,344.09,568,14597,37,1723.89,5.01
2026-01-11,Google Ads,Shopping,Generic Search,457.52,764,28310,39,1779.75,3.89
2026-01-11,Google Ads,Performance Max,Shopping Best Sellers,514.23,1095,27385,37,2164.91,4.21
2026-01-11,Meta Ads,Prospecting,Lookalike Prospecting,289.77,502,15263,26,866.41,2.99
2026-01-11,Meta Ads,Retargeting,Cart Retargeting,403.72,1219,34723,46,1142.53,2.83
2026-01-11,Meta Ads,Advantage+,Advantage Shopping,404.97,589,30579,31,1279.71,3.16
2026-01-11,Microsoft Ads,Search,Bing Brand,134.73,287,7394,15,918.86,6.82
2026-01-11,Microsoft Ads,Shopping,Bing Generic,148.94,371,10417,21,758.1,5.09
2026-01-12,Google Ads,Search,Brand Search,470.48,1372,33061,74,2766.42,5.88
2026-01-12,Google Ads,Shopping,Generic Search,487.17,1229,33167,36,2060.73,4.23
2026-01-12,Google Ads,Performance Max,Shopping Best Sellers,551.43,590,27518,29,2536.58,4.6
2026-01-12,Meta Ads,Prospecting,Lookalike Prospecting,415.04,1366,34493,50,1257.57,3.03
2026-01-12,Meta Ads,Retargeting,Cart Retargeting,461.43,1351,36126,54,1375.06,2.98
2026-01-12,Meta Ads,Advantage+,Advantage Shopping,416.84,869,20148,55,1413.09,3.39
2026-01-12,Microsoft Ads,Search,Bing Brand,173.26,577,14818,24,1204.16,6.95
2026-01-12,Microsoft Ads,Shopping,Bing Generic,204.81,404,13547,22,866.35,4.23
2026-01-13,Google Ads,Search,Brand Search,474.51,1591,37490,48,2609.8,5.5
2026-01-13,Google Ads,Shopping,Generic Search,476.85,1271,39002,84,1778.65,3.73
2026-01-13,Google Ads,Performance Max,Shopping Best Sellers,539.94,1778,42695,69,2035.57,3.77
2026-01-13,Meta Ads,Prospecting,Lookalike Prospecting,351.63,771,29741,36,949.4,2.7
2026-01-13,Meta Ads,Retargeting,Cart Retargeting,365.77,524,17595,29,1218.01,3.33
2026-01-13,Meta Ads,Advantage+,Advantage Shopping,514.68,1168,31324,37,1734.47,3.37
2026-01-13,Microsoft Ads,Search,Bing Brand,157.97,289,10113,20,859.36,5.44
2026-01-13,Microsoft Ads,Shopping,Bing Generic,160.08,424,9917,27,755.58,4.72
2026-01-14,Google Ads,Search,Brand Search,393.82,1137,26189,47,2225.08,5.65
2026-01-14,Google Ads,Shopping,Generic Search,506.53,964,24059,44,1990.66,3.93
2026-01-14,Google Ads,Performance Max,Shopping Best Sellers,626.48,801,43147,48,2800.37,4.47
2026-01-14,Meta Ads,Prospecting,Lookalike Prospecting,334.04,445,22516,26,898.57,2.69
2026-01-14,Meta Ads,Retargeting,Cart Retargeting,382.26,823,31015,26,1055.04,2.76
2026-01-14,Meta Ads,Advantage+,Advantage Shopping,541.16,950,43633,29,1396.19,2.58
2026-01-14,Microsoft Ads,Search,Bing Brand,150.11,201,10770,5,836.11,5.57
2026-01-14,Microsoft Ads,Shopping,Bing Generic,206.62,263,11688,7,938.05,4.54
2026-01-15,Google Ads,Search,Brand Search,488.86,1122,36936,67,2644.73,5.41
2026-01-15,Google Ads,Shopping,Generic Search,528.17,1454,34158,39,2022.89,3.83
2026-01-15,Google Ads,Performance Max,Shopping Best Sellers,652.35,1277,42706,87,3092.14,4.74
2026-01-15,Meta Ads,Prospecting,Lookalike Prospecting,314.16,676,18872,32,936.2,2.98
2026-01-15,Meta Ads,Retargeting,Cart Retargeting,479.23,740,21870,21,1265.17,2.64
2026-01-15,Meta Ads,Advantage+,Advantage Shopping,447.14,789,29814,55,1390.61,3.11
2026-01-15,Microsoft Ads,Search,Bing Brand,165.46,236,11457,13,1001.03,6.05
2026-01-15,Microsoft Ads,Shopping,Bing Generic,211.37,595,16192,21,1080.1,5.11
2026-01-16,Google Ads,Search,Brand Search,448.72,765,25690,33,2230.14,4.97
2026-01-16,Google Ads,Shopping,Generic Search,459.84,917,33076,29,1935.93,4.21
2026-01-16,Google Ads,Performance Max,Shopping Best Sellers,682.12,1107,54181,32,2578.41,3.78
2026-01-16,Meta Ads,Prospecting,Lookalike Prospecting,395.21,881,26494,44,1288.38,3.26
2026-01-16,Meta Ads,Retargeting,Cart Retargeting,402.37,823,23302,48,1078.35,2.68
2026-01-16,Meta Ads,Advantage+,Advantage Shopping,540.99,1556,46297,64,1725.76,3.19
2026-01-16,Microsoft Ads,Search,Bing Brand,168.69,288,12070,9,949.72,5.63
2026-01-16,Microsoft Ads,Shopping,Bing Generic,211.86,532,16169,33,999.98,4.72
2026-01-17,Google Ads,Search,Brand Search,426.06,1140,33586,61,2594.71,6.09
2026-01-17,Google Ads,Shopping,Generic Search,377.3,747,29930,25,1818.59,4.82
2026-01-17,Google Ads,Performance Max,Shopping Best Sellers,538.57,560,30856,36,2191.98,4.07
2026-01-17,Meta Ads,Prospecting,Lookalike Prospecting,315.64,526,15272,14,921.67,2.92
2026-01-17,Meta Ads,Retargeting,Cart Retargeting,386.46,632,23533,26,1066.63,2.76
2026-01-17,Meta Ads,Advantage+,Advantage Shopping,436.31,596,29469,16,1409.28,3.23
2026-01-17,Microsoft Ads,Search,Bing Brand,123.36,224,8922,12,780.87,6.33
2026-01-17,Microsoft Ads,Shopping,Bing Generic,159.86,327,8679,10,770.53,4.82
2026-01-18,Google Ads,Search,Brand Search,376.73,838,27325,46,1902.49,5.05
2026-01-18,Google Ads,Shopping,Generic Search,381.71,479,26326,18,1591.73,4.17
2026-01-18,Google Ads,Performance Max,Shopping Best Sellers,461.05,654,24665,17,1779.65,3.86
2026-01-18,Meta Ads,Prospecting,Lookalike Prospecting,334.98,719,19800,34,914.5,2.73
2026-01-18,Meta Ads,Retargeting,Cart Retargeting,398.21,728,18016,20,1298.16,3.26
2026-01-18,Meta Ads,Advantage+,Advantage Shopping,346.2,922,27971,47,1159.77,3.35
2026-01-18,Microsoft Ads,Search,Bing Brand,148.49,130,7006,5,887.97,5.98
2026-01-18,Microsoft Ads,Shopping,Bing Generic,176.86,589,14050,17,894.91,5.06
2026-01-19,Google Ads,Search,Brand Search,512.75,1111,35123,48,2558.62,4.99
2026-01-19,Google Ads,Shopping,Generic Search,502.81,641,28654,31,2066.55,4.11
2026-01-19,Google Ads,Performance Max,Shopping Best Sellers,533.59,1196,44163,69,2299.77,4.31
2026-01-19,Meta Ads,Prospecting,Lookalike Prospecting,410.01,471,21580,16,1336.63,3.26
2026-01-19,Meta Ads,Retargeting,Cart Retargeting,445.35,720,31842,43,1434.03,3.22
2026-01-19,Meta Ads,Advantage+,Advantage Shopping,489.49,1107,37296,74,1571.26,3.21
2026-01-19,Microsoft Ads,Search,Bing Brand,170.22,483,11933,26,1082.6,6.36
2026-01-19,Microsoft Ads,Shopping,Bing Generic,171.72,275,10629,10,740.11,4.31
2026-01-20,Google Ads,Search,Brand Search,397.97,663,22274,18,2145.06,5.39
2026-01-20,Google Ads,Shopping,Generic Search,594.71,1936,48107,102,2253.95,3.79
2026-01-20,Google Ads,Performance Max,Shopping Best Sellers,612.82,1583,41025,103,2610.61,4.26
2026-01-20,Meta Ads,Prospecting,Lookalike Prospecting,367.65,691,26225,32,1198.54,3.26
2026-01-20,Meta Ads,Retargeting,Cart Retargeting,384.71,743,17950,30,1011.79,2.63
2026-01-20,Meta Ads,Advantage+,Advantage Shopping,526.33,640,26193,29,1578.99,3.0
2026-01-20,Microsoft Ads,Search,Bing Brand,164.25,224,8072,8,1011.78,6.16
2026-01-20,Microsoft Ads,Shopping,Bing Generic,188.48,500,12987,27,882.09,4.68
2026-01-21,Google Ads,Search,Brand Search,401.15,739,29094,43,1909.47,4.76
2026-01-21,Google Ads,Shopping,Generic Search,567.02,1229,46097,63,2716.03,4.79
2026-01-21,Google Ads,Performance Max,Shopping Best Sellers,543.62,1682,46505,72,2239.71,4.12
2026-01-21,Meta Ads,Prospecting,Lookalike Prospecting,386.69,601,21628,36,1303.15,3.37
2026-01-21,Meta Ads,Retargeting,Cart Retargeting,478.57,1412,37952,79,1502.71,3.14
2026-01-21,Meta Ads,Advantage+,Advantage Shopping,498.86,835,30457,34,1556.44,3.12
2026-01-21,Microsoft Ads,Search,Bing Brand,151.01,392,12782,14,850.19,5.63
2026-01-21,Microsoft Ads,Shopping,Bing Generic,172.38,284,13790,17,744.68,4.32
2026-01-22,Google Ads,Search,Brand Search,518.04,606,22638,36,3082.34,5.95
2026-01-22,Google Ads,Shopping,Generic Search,478.27,934,23579,56,1984.82,4.15
2026-01-22,Google Ads,Performance Max,Shopping Best Sellers,677.72,1199,41812,66,2643.11,3.9
2026-01-22,Meta Ads,Prospecting,Lookalike Prospecting,345.23,709,18926,32,1018.43,2.95
2026-01-22,Meta Ads,Retargeting,Cart Retargeting,441.6,1045,34616,65,1254.14,2.84
2026-01-22,Meta Ads,Advantage+,Advantage Shopping,475.8,1232,41061,46,1608.2,3.38
2026-01-22,Microsoft Ads,Search,Bing Brand,162.56,545,13896,33,1003.0,6.17
2026-01-22,Microsoft Ads,Shopping,Bing Generic,173.17,500,12270,25,789.66,4.56
2026-01-23,Google Ads,Search,Brand Search,410.11,837,32933,50,2419.65,5.9
2026-01-23,Google Ads,Shopping,Generic Search,505.02,721,24559,49,2419.05,4.79
2026-01-23,Google Ads,Performance Max,Shopping Best Sellers,564.27,609,32576,17,2392.5,4.24
2026-01-23,Meta Ads,Prospecting,Lookalike Prospecting,378.74,912,32857,24,1052.9,2.78
2026-01-23,Meta Ads,Retargeting,Cart Retargeting,499.2,1372,35567,43,1637.38,3.28
2026-01-23,Meta Ads,Advantage+,Advantage Shopping,464.91,737,34089,42,1524.9,3.28
2026-01-23,Microsoft Ads,Search,Bing Brand,166.88,187,7604,12,881.13,5.28
2026-01-23,Microsoft Ads,Shopping,Bing Generic,199.74,274,13133,10,1040.65,5.21
2026-01-24,Google Ads,Search,Brand Search,370.3,871,22548,40,1736.71,4.69
2026-01-24,Google Ads,Shopping,Generic Search,401.3,509,27631,25,1922.23,4.79
2026-01-24,Google Ads,Performance Max,Shopping Best Sellers,478.24,997,29324,36,1850.79,3.87
2026-01-24,Meta Ads,Prospecting,Lookalike Prospecting,310.06,616,14217,17,973.59,3.14
2026-01-24,Meta Ads,Retargeting,Cart Retargeting,372.33,1043,32197,44,1120.71,3.01
2026-01-24,Meta Ads,Advantage+,Advantage Shopping,415.91,881,35829,23,1293.48,3.11
2026-01-24,Microsoft Ads,Search,Bing Brand,155.99,402,11696,24,914.1,5.86
2026-01-24,Microsoft Ads,Shopping,Bing Generic,177.98,252,7830,16,831.17,4.67
2026-01-25,Google Ads,Search,Brand Search,355.84,808,22385,43,2063.87,5.8
2026-01-25,Google Ads,Shopping,Generic Search,506.19,1164,38940,44,1908.34,3.77
2026-01-25,Google Ads,Performance Max,Shopping Best Sellers,447.07,829,19620,40,1761.46,3.94
2026-01-25,Meta Ads,Prospecting,Lookalike Prospecting,369.98,743,19757,25,1124.74,3.04
2026-01-25,Meta Ads,Retargeting,Cart Retargeting,353.83,763,28646,23,1146.41,3.24
2026-01-25,Meta Ads,Advantage+,Advantage Shopping,403.89,1257,30473,53,1344.95,3.33
